Forkortelse,Produkt,MBL [tonn],Massetetthet [kg/m],E-modul [N/m^2]
22 STec-3,22 mm SuperTec 3-slått,10.003416049313476,0.22,2000000000.0
24 STec-3,24 mm SuperTec 3-slått,11.80831374628441,0.26,2000000000.0
26 STec-3,26 mm SuperTec 3-slått,13.603014281125564,0.306,2000000000.0
28 STec-3,28 mm SuperTec 3-slått,15.601658058562302,0.355,2000000000.0
30 STec-3,30 mm SuperTec 3-slått,17.50852737683103,0.41100000000000003,2000000000.0
32 STec-3,32 mm SuperTec 3-slått,19.609142775565562,0.46,2000000000.0
36 STec-3,36 mm SuperTec 3-slått,24.208062896096017,0.58,2000000000.0
40 STec-3,40 mm SuperTec 3-slått,29.612558824879038,0.715,2000000000.0
44 STec-3,44 mm SuperTec 3-slått,36.516037586739614,0.885,2000000000.0
48 STec-3,48 mm SuperTec 3-slått,42.51196891904983,1.04,2000000000.0
52 STec-3,52 mm SuperTec 3-slått,49.01775835784901,1.22,2000000000.0
56 STec-3,56 mm SuperTec 3-slått,55.4215761753504,1.42,2000000000.0
6 STec-3,6 mm SuperTec 3-slått,0.8463644567716805,0.0175,2000000000.0
60 STec-3,60 mm SuperTec 3-slått,62.518801017676786,1.63,2000000000.0
64 STec-3,64 mm SuperTec 3-slått,71.22717747650829,1.85,2000000000.0
70 STec-3,70 mm SuperTec 3-slått,84.72822013633606,2.21,2000000000.0
72 STec-3,72 mm SuperTec 3-slått,89.62285795863012,2.34,2000000000.0
8 STec-3,8 mm SuperTec 3-slått,1.4479970224286582,0.03,2000000000.0
80 STec-3,80 mm SuperTec 3-slått,110.73098356727323,2.9,2000000000.0
88 STec-3,88 mm SuperTec 3-slått,133.3380920089939,3.51,2000000000.0
9 STec-3,9 mm SuperTec 3-slått,1.835489183360271,0.038,2000000000.0
96 STec-3,96 mm SuperTec 3-slått,158.45370233464027,4.17,2000000000.0
10 Stuf-3,10 mm Supertuf 3-slått,1.875,0.045454545454545456,2000000000.0
12 Stuf-3,12 mm Supertuf 3-slått,2.75,0.0659090909090909,2000000000.0
14 Stuf-3,14 mm Supertuf 3-slått,3.6749999999999994,0.0890909090909091,2000000000.0
